Collated weather generator output for 168 realizations 

Annual average precipitation depth in mm:  669.7 
Annual average ETo depth in mm: 1963.6 
Annual average deficit depth in mm: -1293.9 

Month 1 - 3-month cumulative deficit (mm) -214.7; target cumulative probability 0.232; actual cumulative probability 0.237 
Month 2 - 3-month cumulative deficit (mm) -217.2; target cumulative probability 0.232; actual cumulative probability 0.248 
Month 3 - 3-month cumulative deficit (mm) -273.8; target cumulative probability 0.232; actual cumulative probability 0.200 
Month 4 - 3-month cumulative deficit (mm) -359.9; target cumulative probability 0.232; actual cumulative probability 0.259 
Month 5 - 3-month cumulative deficit (mm) -454.9; target cumulative probability 0.232; actual cumulative probability 0.242 
Month 6 - 3-month cumulative deficit (mm) -509.5; target cumulative probability 0.232; actual cumulative probability 0.189 
Month 7 - 3-month cumulative deficit (mm) -538.6; target cumulative probability 0.232; actual cumulative probability 0.281 
Month 8 - 3-month cumulative deficit (mm) -546.8; target cumulative probability 0.232; actual cumulative probability 0.235 
Month 9 - 3-month cumulative deficit (mm) -513.9; target cumulative probability 0.232; actual cumulative probability 0.215 
Month 10 - 3-month cumulative deficit (mm) -399.5; target cumulative probability 0.232; actual cumulative probability 0.256 
Month 11 - 3-month cumulative deficit (mm) -309.7; target cumulative probability 0.232; actual cumulative probability 0.236 
Month 12 - 3-month cumulative deficit (mm) -259.0; target cumulative probability 0.232; actual cumulative probability 0.201 
