Collated weather generator output for 168 realizations 

Annual average precipitation depth in mm:  833.3 
Annual average ETo depth in mm: 2032.3 
Annual average deficit depth in mm: -1199.0 

Month 1 - 3-month cumulative deficit (mm) -221.1; target cumulative probability 0.152; actual cumulative probability 0.173 
Month 2 - 3-month cumulative deficit (mm) -229.7; target cumulative probability 0.152; actual cumulative probability 0.141 
Month 3 - 3-month cumulative deficit (mm) -279.6; target cumulative probability 0.152; actual cumulative probability 0.096 
Month 4 - 3-month cumulative deficit (mm) -350.0; target cumulative probability 0.152; actual cumulative probability 0.182 
Month 5 - 3-month cumulative deficit (mm) -445.6; target cumulative probability 0.152; actual cumulative probability 0.149 
Month 6 - 3-month cumulative deficit (mm) -512.1; target cumulative probability 0.152; actual cumulative probability 0.087 
Month 7 - 3-month cumulative deficit (mm) -543.7; target cumulative probability 0.152; actual cumulative probability 0.174 
Month 8 - 3-month cumulative deficit (mm) -561.1; target cumulative probability 0.152; actual cumulative probability 0.142 
Month 9 - 3-month cumulative deficit (mm) -527.8; target cumulative probability 0.152; actual cumulative probability 0.121 
Month 10 - 3-month cumulative deficit (mm) -409.8; target cumulative probability 0.152; actual cumulative probability 0.188 
Month 11 - 3-month cumulative deficit (mm) -329.2; target cumulative probability 0.152; actual cumulative probability 0.142 
Month 12 - 3-month cumulative deficit (mm) -292.7; target cumulative probability 0.152; actual cumulative probability 0.136 
