Collated weather generator output for 1000 realizations 

Annual average precipitation depth in mm:  920.2 
Annual average ETo depth in mm: 2057.2 
Annual average deficit depth in mm: -1137.0 

Month 1 - 3-month cumulative deficit (mm) -201.9; target cumulative probability 0.212; actual cumulative probability  0.220 
Month 2 - 3-month cumulative deficit (mm) -196.1; target cumulative probability 0.212; actual cumulative probability  0.216 
Month 3 - 3-month cumulative deficit (mm) -234.7; target cumulative probability 0.212; actual cumulative probability  0.165 
Month 4 - 3-month cumulative deficit (mm) -304.8; target cumulative probability 0.212; actual cumulative probability  0.229 
Month 5 - 3-month cumulative deficit (mm) -398.6; target cumulative probability 0.212; actual cumulative probability  0.235 
Month 6 - 3-month cumulative deficit (mm) -485.6; target cumulative probability 0.212; actual cumulative probability  0.113 
Month 7 - 3-month cumulative deficit (mm) -533.1; target cumulative probability 0.212; actual cumulative probability  0.238 
Month 8 - 3-month cumulative deficit (mm) -533.3; target cumulative probability 0.212; actual cumulative probability  0.233 
Month 9 - 3-month cumulative deficit (mm) -520.8; target cumulative probability 0.212; actual cumulative probability  0.144 
Month 10 - 3-month cumulative deficit (mm) -383.0; target cumulative probability 0.212; actual cumulative probability 0.249 
Month 11 - 3-month cumulative deficit (mm) -303.6; target cumulative probability 0.212; actual cumulative probability 0.223 
Month 12 - 3-month cumulative deficit (mm) -273.6; target cumulative probability 0.212; actual cumulative probability 0.189 
