Collated weather generator output for 1000 realizations 

Annual average precipitation depth in mm:  863.7 
Annual average ETo depth in mm: 1995.7 
Annual average deficit depth in mm: -1132.0 

Month 1 - 3-month cumulative deficit (mm) -217.9; target cumulative probability 0.137; actual cumulative probability  0.150 
Month 2 - 3-month cumulative deficit (mm) -216.9; target cumulative probability 0.137; actual cumulative probability  0.145 
Month 3 - 3-month cumulative deficit (mm) -258.6; target cumulative probability 0.137; actual cumulative probability  0.106 
Month 4 - 3-month cumulative deficit (mm) -322.8; target cumulative probability 0.137; actual cumulative probability  0.144 
Month 5 - 3-month cumulative deficit (mm) -399.7; target cumulative probability 0.137; actual cumulative probability  0.160 
Month 6 - 3-month cumulative deficit (mm) -475.3; target cumulative probability 0.137; actual cumulative probability  0.085 
Month 7 - 3-month cumulative deficit (mm) -528.9; target cumulative probability 0.137; actual cumulative probability  0.147 
Month 8 - 3-month cumulative deficit (mm) -527.6; target cumulative probability 0.137; actual cumulative probability  0.165 
Month 9 - 3-month cumulative deficit (mm) -522.7; target cumulative probability 0.137; actual cumulative probability  0.096 
Month 10 - 3-month cumulative deficit (mm) -410.6; target cumulative probability 0.137; actual cumulative probability 0.150 
Month 11 - 3-month cumulative deficit (mm) -327.3; target cumulative probability 0.137; actual cumulative probability 0.154 
Month 12 - 3-month cumulative deficit (mm) -289.5; target cumulative probability 0.137; actual cumulative probability 0.101 
